Moulding_Type_Abb,Moulding_Type,Segments,Comment
NDL,Needles,"Bakery and Pastry, Ice cream and Desserts","Thin chocolate pieces, often used for garnishing and decoration on cakes, pastries, or frozen desserts."
SLC,slices,"Bakery and Pastry, Ice cream and Desserts","Thin chocolate pieces, often used for garnishing and decoration on cakes, pastries, or frozen desserts."
TBB,sticks big 28 & 38 cm,"Bakery and Pastry, Ice cream and Desserts",Chocolate sticks used for decorating or as part of layered desserts.
TBS,sticks small 7.8  cm,"Bakery and Pastry, Ice cream and Desserts",Chocolate sticks used for decorating or as part of layered desserts.
GRL,granella,"Bakery and Pastry, Ice cream and Desserts",Small granules of chocolate used in baking or as inclusions in ice cream and pastries.
GRA,grani,"Bakery and Pastry, Ice cream and Desserts",Small granules of chocolate used in baking or as inclusions in ice cream and pastries.
VER,Vermicelli,"Bakery and Pastry, Ice cream and Desserts","Fine strands of chocolate, often used as decorations or for textural contrast in desserts."
VSN,vermicelli/splitter not shiny,"Bakery and Pastry, Ice cream and Desserts","Fine strands of chocolate, often used as decorations or for textural contrast in desserts."
VSM,vermicelli/splitter medium,"Bakery and Pastry, Ice cream and Desserts","Fine strands of chocolate, often used as decorations or for textural contrast in desserts."
VSH,vermicelli/splitter high cost,"Bakery and Pastry, Ice cream and Desserts","Fine strands of chocolate, often used as decorations or for textural contrast in desserts."
VSL,vermicelli/splitter low cost,"Bakery and Pastry, Ice cream and Desserts","Fine strands of chocolate, often used as decorations or for textural contrast in desserts."
DRL,drops up to 10000 / kg,"Bakery and Pastry, Ice cream and Desserts",Small chocolate pieces used in mass production of baked goods like cookies or muffins.
BAS,bag up to 5 kg,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Small packaging for artisanal use in small-scale production.
BAB,big bags,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
GRN,granulated,"Bakery and Pastry, Dairy and Drink, Ice cream and Desserts","Granulated chocolate used in beverages, baking, or as inclusions in frozen desserts."
CAL,callets over 1.5 kg,"Bakery and Pastry, Ice cream and Desserts","Chocolate pieces, typically used for premium decorative applications."
CAS,callets up to 1.5 kg,"Bakery and Pastry, Ice cream and Desserts","Chocolate pieces, typically used for premium decorative applications."
HOB,truffle shells,,Hollow chocolate shells used to make filled truffles and other filled confections.
SCA,shiny callets,"Bakery and Pastry, Confectionary, Ice cream and Desserts","High-gloss chocolate pieces, typically used for premium decorative applications."
SPL,Splitters,"Bakery and Pastry, Confectionary, Ice cream and Desserts","High-gloss chocolate pieces, typically used for premium decorative applications."
PEN,pencils,"Bakery and Pastry, Ice cream and Desserts","Thin, pencil-shaped chocolate used for decoration on cakes or as part of a dessert presentation."
DE3,Decorations 3D,"Bakery and Pastry, Ice cream and Desserts",Intricate 3D chocolate shapes used for high-end cake decorations or plated desserts.
CKR,Regular Chunk,"Bakery and Pastry, Ice cream and Desserts",Larger chunks used in baking or as inclusions in ice creams and desserts.
