,Material_Code,Material_Description,Certification,Moulding_Type,Product_Type,Base_Type,Shelflife,Base_Type_Categories,Base_Type_Description,Product_Type_Categories,Product_Type_Description,Moulding_Type_Segments,Moulding_Type_Description
1753,JWF-126FRAMZP-Z51,CR FRAMBO GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1754,JWF-128APRZP-Z51,CR APRICO GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1755,JWF-128APRZP-Z51,CR APRICO GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1756,JWF-187QRED-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1757,JWF-187QRED-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1758,JWF-187QRED-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1759,JWF-187QRED-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1760,JWF-189QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1761,JWF-189QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1762,JWF-190QYEL-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1763,JWF-190QYEL-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1764,JWF-190QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1765,JWF-190QYEL-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1766,JWW-007CLEAR-642,CR CLEAR GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1767,JWW-007CLEAR-642,CR CLEAR GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1768,JWW-007CLEAR-Z69,CR CLEAR GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1769,JWW-007CLEAR-Z69,CR CLEAR GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1770,JWW-007QCLE-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1771,JWW-007QCLE-Z12,CR CARMA QUICK GEL 14KG/BOX 40BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1772,JWW-007QCLE-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1773,JWW-007QCLE-Z53,CR CARMA QUICK GEL 14KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1774,JWW-015BRICO-000,BC BRILLANT GEL LIQUID,HALA,Liquid,jelly waterbased,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1775,JWW-015BRICO-642,CR BRILLANT GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1776,JWW-015BRICO-642,CR BRILLANT GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1777,JWW-015BRICO-Z69,CR BRILLANT GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1778,JWW-015BRICO-Z69,CR BRILLANT GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1786,CHD-P60ZV-105,BC BLOCKS 25KG/BOX 40BOX/PAL,HALA,block large up to 5 kg,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
1787,CHD-SH-7-416,96_CB GROS COPEAUX SHAVINGS 2KG/UC 6UC/B,1001,shavings,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Ice cream and Desserts","Thin shavings used for decoration on cakes, ice creams, and desserts."
1788,CHD-THEO103-000,BC LIQUID,NTA,Liquid,chocolate,Dark,0,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1789,CHW-U7514NV-000,BC LIQUID,HALA,Liquid,chocolate,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1790,CHW-U7514NV-232,BC EASYMELT 750KG/BG 1BG/PAL,HALA,Easymelt,chocolate,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
1796,DCC-10HARED-37A,BC CC HA-RED,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1797,DCC-10HARED2-37A,BC CC HA-RED2,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1799,DCC-10L439-37A,BC CC HA-FTA2,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1800,DCC-10LABR-2-37A,BC CC LA-BR2,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1801,DCC-10LABR-37A,BC CC LA-BR,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1807,DCC-10S438-37A,BC CC LA-FTA2,HALA,big bags,cake cocoa,Alcalised,36,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Cocoa powder specifically formulated for baking cakes.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1825,DCP-10N318-39B,BC DF 760-11,HALA,big bags,Powder cocoa,Alcalised,24,Cocoa,Cocoa processed with alkali to reduce acidity and enhance flavor.,Cocoa,Finely ground cocoa powder used in baking and chocolate manufacturing.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Large bulk packaging for industrial use in large-scale production.
1836,ILW-0038601-000,BC LIQUID,SPM,Liquid,compound lauric,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1837,ILW-0Y51901-000,BC LIQUID,SPM,Liquid,compound lauric,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1838,ILW-INT-O053-32A,BC INTERN - GLASURA WHITE CONTAINER,SPT,container hoyer,compound lauric,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
1839,ILW-L19SUBL-471,CV EASYMELT 10KG/BOX 64BOX/PAL,SPM;HALA,Easymelt,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
1840,ILW-O053GLWI-Z17,CR GLASURA WHITE 6KG/BOX 90BOX/PAL,SPT;HALA,bucket/box up to 15 kg,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1841,ILW-O053GLWI-Z17,CR GLASURA WHITE 6KG/BOX 90BOX/PAL,SPT;HALA,bucket/box up to 15 kg,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1842,ILW-O053GLWI-Z74,CR GLASURA WHITE 6KG/UC 2UC/BOX,HALA;SPT,bucket/box up to 15 kg,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1843,ILW-O053GLWI-Z74,CR GLASURA WHITE 6KG/UC 2UC/BOX,HALA;SPT,bucket/box up to 15 kg,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1844,ILW-O7611-471,CA EASYMELT 10KG/BOX 64BOX/PAL,SPM,Easymelt,compound lauric,White,12,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"Lauric-based compound with quick setting properties, ideal for coatings and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
